Var1 Freq
arrive 1
assemble 1
become 1
boy 1
burn 1
call 1
capture 1
carry 1
defend 1
entitle 1
fight 1
give 1
go 1
guard 1
harm 1
hear 1
help 1
hold 1
inspect 1
keep 1
last 1
laugh 1
launch 1
learn 1
lift 1
live 1
manage 1
mean 1
meet 1
move 1
order 1
patrol 1
post 1
practice 1
prepare 1
protect 1
pull 1
put 1
rain 1
remind 1
run 1
set 1
smoke 1
start 1
teach 1
think 1
throw 1
transport 1
try 1
understand 1
wear 1
accompany 2
attack 2
bring 2
cheer 2
follow 2
make 2
offer 2
receive 2
relax 2
see 2
seem 2
send 2
shoot 2
spend 2
talk 2
visit 2
come 3
destroy 3
get 3
remember 3
use 3
do 4
have 4
kill 4
know 4
speak 4
take 5
say 6
tell 6
be 17
